TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-138317,DT036916,Record has been changed by another user when attempting to reallocate a deferred task by a supervisor,CEF,Supervisor Workspace,Task Management,,"*Issue Description:*
When a supervisor attempts to reallocate a deferred task, the following error message is displayed: ?This record has been changed by another user. Please start again.?

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person.
# Click the Administration tab and select Tasks.
# Create a task using the page-level action and select Add to My Tasks. 
# Select the Defer action to defer the task.
# Log in as a supervisor.
# Navigate to the caseworker workspace by searching for the caseworker in the User search.
# Navigate to the Deferred Task and select the page-level action Reallocate.
# The Reallocate Reserved Task modal (Supervisor_reallocateTasksReservedByUser) is displayed. Select the deferred task and click Save.
# Issue: The following error is displayed: ?This record has been changed by another user. Please start again.?

*Resolution:*
This issue has been resolved, and now a supervisor can reallocate deferred tasks.
"
SPM-137766,DT037124,"Labels for Next Month, Previous Month buttons, Year input fields and Calendar container are not translated to the corresponding locale",Accessibility,,,,"*Issue Description:*
The labels for the Next Month and Previous Month buttons, Year input fields, and the Calendar container are not translated to the corresponding locale.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Click ?Search for a Person? (in French: Rechercher une personne...) in the Quick Links pod to open the Person Search page (Recherche de personnes).
# Click in the ?Date of Birth? field to open the Calendar widget.
# Inspect the aria-labels for the Calendar container, Year field, and Previous Month and Next Month buttons.
# Issue: All fields (Year field, Previous Month and Next Month buttons) and the Calendar container have labels in English.

*Resolution:*
The labels for all fields (Year field, Previous Month and Next Month buttons), as well as the Calendar container, now translate into the appropriate locale.

"
SPM-137742,DT037104,The Swagger spec generator in the REST infrastructure incorrectly always assumes the same request and response body for a PUT request,CEF,Application Development Environment,Rest,,"*Issue Description:*
The Swagger spec generator in the REST infrastructure incorrectly assumes that all PUT requests have the same request and response body. This results in the object definition for the request body being reused for the response body, regardless of whether the input and output structs are different in the actual API.

*User Interface Impact:* No

*Steps to Reproduce:*

# Open the Swagger specification.
# Expand a PUT API with differing input and output structs.
# View the definitions section for the request and response bodies. 
# Issue: The Swagger spec generator reuses the request body object for the response body, even if the API has different input and output structs.

*Resolution:*
The Swagger spec generator has been updated to detect when a PUT API has differing input and output structs and generate separate object definitions for the request and response bodies when required.

"
SPM-137538,DT037091,The Swagger specification for the REST APIs is missing the description for the mandatory referrer request header,CEF,Application Development Environment,Rest,,"*Issue Description:*
The Swagger specification for REST APIs does not include descriptions for the mandatory Referer header, which is required for all API requests.

*User Interface Impact:* No

*Steps to Reproduce:*

# Open the Swagger specification. 
# Expand the details for any GET, PUT, POST, or DELETE API request.
# Issue: The Referer header is not listed in the Parameters section, even though it is mandatory for all API requests.

*Resolution:*
The Swagger specification has been updated to include the Referer header as a mandatory parameter with an appropriate description for all API requests.

{noformat}{
          """"name"""": """"Referer"""",
          """"in"""": """"header"""",
          """"description"""": """"The Referer header is mandatory for all API requests."""",
          """"type"""": """"string"""",
          """"required"""": true
 }{noformat}

"
SPM-137294,DT037090,The error object defined in the Swagger specification is incorrect,CEF,Application Development Environment,Rest,,"*Issue Description:*
The error object definition in the Swagger specification is incorrect and inconsistent with the actual error response returned by REST APIs.
There are two key problems:

# The error object definition contains an incorrectly named Error attribute instead of errors.
# The error object definition is missing field and stack_trace attributes, which may not always contain values but should be included for consistency and accuracy.

*User Interface Impact:* No

*Steps to Reproduce:*
To reproduce the issue, a REST API needs to be invoked.

*Using Swagger UI or a REST client (e.g., Postman):*

# Log in as a caseworker.
# Open a new browser tab. The authentication cookies from logging in will be reused by the REST client or Swagger UI tool.
# Invoke a REST API and pass an invalid parameter to force an error (e.g., /Rest/v1/persons/12345xxx).

*Using a command-line tool (e.g., cURL):*

# Programmatically call the /Res/j&#95security&#95check URL.
# Retrieve the LTPA token from the response cookie header.
# Add the LTPA token to the cookie request header for all API calls.
# Call an existing REST API with an invalid parameter (e.g., /Rest/v1/persons/12345xxx).
Issue: The API response contains an errors attribute, along with field and stack&#95trace attributes (if ?curam.trace? is set to ?trace&#95on?), however, the Swagger specification defines the error object as having an Error attribute instead of errors and does not include field or stack&#95trace.

*Resolution:*
The Swagger specification has been updated to:

# Rename the incorrectly named Error attribute to errors.
# Add definitions for the field and stack&#95trace (will now always appear but will not have a value unless ?curam.trace? is set to ?trace&#95on?) attributes, with descriptions indicating that these fields may not always contain values.

{noformat}{
    """"errors"""": [
        {
            """"code"""": 404,
            """"field"""": null,
            """"message"""": """"HTTP 404 Not Found"""",
            """"level"""": """"error"""",
            """"message&#95id"""": null,
""""stackTrace"""": null
}
]
}{noformat}

"
SPM-137076,"   DT037089",REST API error messages return HTML code for a single quote (&#39;) instead of the single quote character,CEF,Application Development Environment,Rest,,"*Issue Description:*
Certain REST API error messages contain parts subjected to HTML escaping, causing characters to be converted to their unreadable HTML-escaped representation.

*User Interface Impact:* No

*Steps to Reproduce:* N/A

Issue:?There was an issue while parsing a 'concern&#95;role&#95;id' attribute, which contains a value of '12345xxx': The field &#39;concern&#95role&#95id&#39; must be a whole number.

*Resolution:*
The REST infrastructure has been updated to ensure that error messages are displayed correctly for API consumers.

Resolved line should resemble this example.?There was an issue while parsing a 'concern&#95;role&#95;id' attribute, which contains a value of '12345xxx': The field 'concern&#95;role&#95;id' must be a whole number.

"
SPM-136905,DT037156,Duplicate records are being created when sharing back to the Holding Case,CEF,Life Event Management,,,"*Issue Description:*
Duplicate evidence is shared to a Holding Case when the evidence is added to an integrated case with logically equivalent evidence sharing configured.

*User Interface Impact:* No

*Prerequisites:*

# Ensure that logically equivalent evidence sharing is configured between the Insurance Affordability integrated case (Income) and Holding Case (holding case evidence type - ET10000), with Trusted Source set to Yes.
# Ensure that logically equivalent evidence sharing is configured between Income Support Integrated Case (Earned income) and Insurance Affordability integrated case (Income), with Trusted Source set to Yes.
# The necessary configurations need to be in place to support the Advanced Life Event.

*Steps to Reproduce:*

# Log in as an Insurance Affordability caseworker.
# Register a new Person.
# Submit an Insurance Affordability application for the person.
# Authorize the application to create the Insurance Affordability integrated case.
# Log in as an Income Support caseworker.
# Submit an Income Support application for the person to create an Income Support integrated case.
# Create a New Universal Access Account for the registered person.
# Log in to the Citizen Portal.
# Submit a life event to capture the person's income.
# Log in as an Income Support caseworker.
# Add and activate the Earned Income evidence to the Income support integrated case.
# Income evidence is shared to the Insurance Affordability integrated case.
# Issue: Duplicate evidence is getting shared to the Holding Case with the status ?Identical Shared In Edit?, even with the Trusted Source set to Yes.

*Resolution:*
The evidence is now shared to the Holding Case with the correct status based on the configuration setting of Trusted Source set to Yes, and duplicate evidence is no longer shared to the Holding Case.

"
SPM-136824,,Focus is not visible when a user navigates to the email address on the employer context panel,Accessibility,,,,"*Issue Description:*
The focus outline is not visible when a user navigates to the email address on the employer context panel using a keyboard.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Employer.
# Navigate to the Contact tab and select Email Addresses.
# Add an Email Address for the employer.
# Click the Tab key on the employer home page and navigate to the email link in the context panel.
# Issue: The focus outline on the email link is not visible.

*Resolution:*
The focus now moves to the email link on the context panel, and it is fully visible.

"
SPM-136776,DT037086,New evidence can be added to a closed application case,CEF,Intake,Evidence Management,,"*Issue Description:*
The Evidence Dashboard allows users to create new evidence on a closed application case; the system automatically activates and maps this evidence to the open integrated case.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Log in as an Insurance Affordability caseworker.
# Register a new person.
# Create a new application case.
# Complete the script and submit it.
# Navigate to the Applications section under the Care and Protection tab for the person.
# Click the application link to open the application case.
# Authorize the application case. Upon authorization, the status changes to Closed, and the integrated case and product delivery case are created. The New Evidence link disappears from the evidence section, indicating no new evidence can be added. 
# Open the Dashboard section under the Evidence tab on the closed application case.
# Click the plus symbol (+) next to an evidence type on the Dashboard and create a new evidence record.
# Issue: Users can create new evidence on a closed application case, which is then automatically activated and mapped to the open integrated case.

*Resolution:*
When the application case is closed, the plus symbol (+) no longer appears on the dashboard, preventing users from creating new evidence.

"
SPM-136459,DT037076,Labels for Organization checkboxes on New Case Appeal modal are identical and not distinguishable by a screen reader,Accessibility,,,,"*Issue Description:*
When a caseworker creates an Appeal, the Organization checkboxes under the Appellant and Respondent clusters are visually distinct, but they have the same labels when read by the screen reader, which may confuse screen reader users.

*User Interface Impact:* No

*Prerequisites:*

# Log in as an administrator.
# Select Appeals Processes under Case in the shortcuts panel.
# Select New Appeal Process Assignment to open the New Appeal Process Assignment wizard.
# Check the boxes for the first two stages.
# Set up the stages as follows:
## Stage 1: Hearing
## Stage 2: Hearing Review
# Click Next in the wizard.
# Fill in the selected time constraints as follows:
## Request Hearing Case: 5
## Request Hearing Review: 5
## Time to decide and implement a Hearing Case: 5
## Time to decide and implement a Hearing Review: 5
# Click Next in the wizard. This opens the New Appeal Process Assignment Stage.
# Under Item for Assignment, check the box for a product and click Next.
# Click Save. 
# Verify that the New Appeals Process is listed on the Appeals Page. 

*Steps to Reproduce (Generic):*

# Enable a screen reader. 
# Log in as a caseworker.
# Register a person and create an integrated case.
# Create an associated product delivery - the same product as referenced in the Prerequisites.
# On the product delivery, select New Case Appeal from the action menu.
# On the New Case Appeal modal an Organization checkbox is present next to both the Appellant and Respondent fields.
# Issue: The screen reader announces ?Organization? for both the Appellant and Respondent fields.

*Resolution:*
The issue is fixed by placing the checkboxes inside a container, allowing the screen reader to distinguish the labels correctly. 

"
SPM-136456,DT037073,Client Name hyperlink incorrectly referencing Person_homePage on the My Current Cases pod,SOL,Income Support,Participant Management,,"*Issue Description:*
In the My Current Cases pod, the hyperlink on the Client?s Name under the Client column redirects to the person home page instead of the person PDC home page when the Person Data Case is enabled.

*User Interface Impact:* No

*Prerequisites:*

# Log in as an administrator.
# Navigate to User Interfaces and select Personalized Pod Pages.
# Select the row for the Income Support caseworker home page (CGISSEligibilityWorkerHome) and click Edit.
# Select the check box for My Current Cases and click Next.
# On the default pods window, click Next. 
# Click Save on the page layout window. 
# From the shortcuts menu, select Publish.

*Steps to Reproduce:*

# Log in as an Income Support caseworker. 
# On the home page, select the customize button (cog icon on the top right).
# Select the check box beside My Current Case and click Save.
# Register a new Person. 
# Submit an Income Support application for Food Assistance.
# Issue: The hyperlink on the Client?s Name under the Client column on the My Current Cases pod redirects to the person home page when the Person Data Case is enabled. When the Person Data Case is enabled, it should redirect to the person PDC home page.

*Resolution:*
The hyperlink on the Client?s Name under the Client column on My Current Cases Pod now redirects to the person's home Page when the participant data case is enabled.

"
SPM-136168,,Benefit Unit Cluster is failing to display member details for Insurance Assistance,CEF,Application Development Environment,Client Development Environment,Infrastructure,"*Issue Description:*
The Benefit Unit cluster is failing to display member details for the Insurance Assistance summary.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an Insurance Affordability caseworker.
# Register a new Person. 
# Submit an Insurance Affordability Application for a person with an income of 25,000 yearly.
# Authorize the Insurance Affordability Application case.
# From the determination tab of the Insurance Assistance product delivery, select to open the eligible decision.
# Issue: Open the person tab and expand the Benefits unit cluster the eligible member name is not displayed.

*Resolution:*
Within the person tab, expand the Benefit Unit cluster so the eligible member's name is displayed correctly for the Insurance Assistance Display summary.

This issue also occurred for the Insurance Assistance product delivery Determination expanded view, and from the Insurance Affordability integrated case active evidence. The eligible member now displays correctly.

The same issue manifested in the Employer details not being saved for Insurance Policy Details evidence. The employer details are now saved and displayed in the expanded view.

*Technical*
In Dynamic UIM, A FIELD element that had a child LINK element but did not have a LABEL attribute was not rendered correctly. This has been fixed.

"
SPM-136159,DT037064,Column header text on appeal case fails minimum contrast,Accessibility,,,,"*Issue Description:*
The column header text on an appeal case context panel fails to meet the required minimum contrast, as the contrast ratio between the text and the background color of the table header column is insufficient. 

*User Interface Impact:* No

*Prerequisites:*

# Log in as an administrator.
# In the shortcuts panel, expand the Cases section and select the Appeals Processes link.
# Select the New Appeal Process Assignment button and check the following three stages on the New Appeal Process Assignment Wizard.
## Hearing
## Hearing Review
## Judicial Review 
# Click Next and update the time constraints for the following:
## Request hearing case: 5
## Request Hearing Review: 5
## Request Judicial Review: 5
## Time to decide and implement a hearing case: 5
## Time to decide and implement a hearing review: 5
# Click Next, and the New Appeal Process Assignment Stage will open.
# Check any product delivery checkbox and click Next.
# Select Save.  

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person.
# Create an integrated case.
# Create a product delivery - the same product delivery as configured in the New Appeals Process.
# Navigate to the product delivery home page.
# Select the tab actions menu and select New Case Appeal.
# On the New Case Appeal modal, set the appellant column to the registered person and check the Organization checkbox for the respondent.
# Click Save.
# Navigate to the Appeals home page and select the List view button in the context panel.
# Issue: The contrast ratio between the text and the background color of the table header columns - Members, Relationship, and Age is failing.

*Resolution:*
The table column header text color has been updated, and the column header text and the background now have sufficient color contrast ratios.

"
SPM-136069,DT037061,"Empty options in combo boxes have no names/labels ",Accessibility,Application Development Environment,Infrastructure,Accessibility,"*Issue Description:*
In Cúram, when a list box opens and the focus shifts to the first empty value in the drop-down, a screen reader announces 'Current 1 of x' without providing any name or label.

*User Interface Impact:* No 

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as a caseworker.
# Open the Register Person wizard.
# Navigate to the Gender combo box.
# Click the Down arrow key.
# Issue: The screen reader reads 'Current 1 of 3' without providing any name or label.

*Resolution:*
A screen reader now reads the empty value as ?Blank value current 1 of x' with a label.

"
SPM-136016,DT037057,Case status in the context panel lacks context for screen reader users,Accessibility,,,,"*Issue Description:*
In some case context panels, the case status appears visually near the case name or reference number. While sighted users can easily view both elements simultaneously, screen reader users must navigate further down the page to access the case status. This status is announced without any descriptive context, which can confuse a caseworker. For example, terms like ?Open? or ?Closed? are read aloud without indicating what they refer to.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as an Insurance Affordability caseworker.
# Register a new person.
# Add the necessary evidence to make the associated product delivery eligible.
# Authorize the application case.
# Navigate to the product delivery case.
# Issue: Screen reader users must navigate past other content to locate the case status, which is positioned separately from the case name or reference number in the context panel and announced without context.

*Resolution:*
The case name, reference number, and status are now grouped in the context panel. A hidden label for screen readers is announced before the case status. As a result, when users navigate to this section, the screen reader now announces the case name, reference number, status label, and status value together, providing clear, contextual information.

The changes to the context panel layout may introduce a scrollbar to accommodate all panel content.

"
SPM-135979,DT037056,"CE security check, when customised, is causing application submission failures",CEF,Universal Access,,,"*Issue Description:*
Application submission using the classic citizen portal or the responsive web app may fail when the submit application flow contains customization, involving invoking the {{CitizenImpl.performSecurityCheck}} method.

*User Interface Impact:* No

*Steps to Reproduce:*

# Customize the application submission flow so it invokes the {{CitizenImpl.performSecurityCheck}} method.
# Log in to the Cúram citizen engagement portal.
# Submit a benefit application.
# Issue: Application submission fails.

*Resolution:*
This has been addressed, and now the application can be submitted when it uses customization with {{CitizenImpl.performSecurityCheck}} method invocation.

"
SPM-135787,DT037032,"Focus is not visible when navigating filtered values in a combobox at 200% zoom ",Accessibility,,,,"*Issue Description:*
When navigating filtered lists with a zoom level of 200%, the keyboard focus is not visible if the focused item is outside the current view. The list does not automatically scroll to bring the focused value into view, making it difficult for users to track their position within the list.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Navigate to the ?Register Person and Create Case? link under the Cases section in the shortcuts panel.
# In the ?Register Person and Create Case? dialog, zoom the browser to 200%.
# Navigate to the Type drop-down and type the letter ?a?. The values will be filtered to display only those containing the letter ?a?.
# Use the down arrow key to navigate through the filtered list.
# Issue: The focus is not visible when navigating through the filtered list, especially when items are outside the visible portion of the list. Additionally, the list does not scroll automatically to bring the focused item into view.

*Resolution:*
As users navigate through the filtered list, the component now ensures that the focused value is automatically scrolled into view if it is not currently visible. This guarantees that the focused item remains visible even at 200% zoom.

"
SPM-135602,DT037025,Cúram Citizen Engagement - Benefit/Program name is not translated when the language is switched from English,CEF,Universal Access,,,"*Issue Description:*
In Cúram Citizen Engagement, when the selected language is switched from English, the benefit or program name used in the payment message on the user?s dashboard does not display in the selected language.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in to the Cúram citizen engagement portal.
# Submit a benefit application.
# Log in to the Cúram application as a caseworker.
# Search for the submitted application from step 2.
# Process the application up to the issuing of the payment.
# Go back to the citizen engagement portal and log in as the same user as per step 1.
# Observe that a payment message is displayed within the Payments card on the user?s ?Your Account? page informing them when their next payment is due.
# Switch language to something other than English (for example French).
# Issue: The program or benefit name used in the payment message is not translated.

*Resolution:*
This has been addressed and now when the selected language is switched from English, the program or benefit name used in the payment message is displayed in the selected language.

"
SPM-135586,,Hierarchical relationships between evidence types is visually indicated on the Evidence Dashboard but this is not available for screen reader users,Accessibility,,,,"*Issue Description:*
The hierarchical relationship between two or more evidence types on the Evidence Dashboard is not conveyed to screen reader users. For example, a parent-child relationship may exist between two evidence types, but this information is not announced to the user.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an Income Support caseworker.
# Register a new Person.
# Submit an Income Support application for Food Assistance.
# Open the Income Support Application and navigate to the Dashboard page in the Evidence tab.
# Note how evidence types with a hierarchical relationship are displayed with indentations.
# Enable a screen reader and navigate to an evidence type with a hierarchical relationship.
# Issue: The hierarchical relationship is not announced to the screen reader user.

*Resolution:*
The hierarchical relationship between evidence types is now expressed in the HTML structure, and this information is conveyed to screen reader users.

"
SPM-135513,DT037018,The iFrame title text is concatenated with the previous iFrame title text when navigating between in-page navigation tabs in an expanded list row,CEF,Application Development Environment,Client Development Environment,Accessibility,"*Issue Description:*
The title of the iFrame within an expandable list is concatenated with the titles of all previously opened iFrames, which can cause accessibility issues for screen reader users.

*User Interface Impact:* No 

*Prerequisites:*

# Log in as a system administrator.
# Select Property Administration under Application Data in the shortcuts panel.
# Search for the properties ?curam.pec.enabled? and ?curam.pec.demographicsenabled?, set both to 'YES', and then publish the changes.
# Logout.

*Steps to Reproduce:*

# Enable a screen reader. 
# Log in as a caseworker.
# Register a new person.
# Navigate to the Evidence tab, select In-Edit Evidence and expand any of the existing evidence, for example, Addresses.  
# Click the Change History in-page navigation tab.
# Click the Details in the page navigation tab.
# Issue: Screen reader reads 'view addresses evidence details view addresses view addresses evidence details view addresses frame?.

*Resolution:*
This issue is resolved, and the iFrame titles are no longer concatenated. 

"
SPM-135470,DT037010,Application case status in the context panel is visually adjacent to the case name and reference number but lacks context for screen reader users,Accessibility,,,,"*Issue Description:*
The application case status in the context panel is visually adjacent to the case reference number. While sighted users can easily view both elements simultaneously, screen reader users must navigate further down the page to access the case status information. This status is announced without any additional context, which can lead to confusion, as there is no explanation of what ?Open? or ?Disposed?, etc., refers to.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as a caseworker.
# Register a person and create an application.
# Navigate to the application context panel.
# Issue: Screen reader users must navigate past other content to locate the status, as it is positioned separately from the reference number and is announced without descriptive context.

*Resolution:*
The application name, reference number, and status are now grouped together in the context panel. A hidden screen reader label has been added before the case status. When users navigate to this section, the screen reader will announce the application name, reference number, status label, and status value together, providing clear and comprehensive context.

"
SPM-135464,DT037012,Accessibility issues on application menu,Accessibility,,,,"*Issue Description:*
The application menu in the application banner has accessibility issues which may cause difficulties for screen reader users. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Open developer tools.
# Inspect the application menu on the top right corner of the application banner.
# Issues: 

* Only one item is enclosed in a list.
* The application menu button is labelled as ?Application Menu'.
* Title attributes are present in the {{<img>}} element of the application menu button, but they are unnecessary.
* The {{aria-expanded}} attribute is not applied to the application menu button when it is expanded or collapsed.
* The {{aria-controls}} attribute is missing from the application menu button.

*Resolution:*
The accessibility issues on the application menu in the application banner are now resolved.

"
SPM-135318,DT036997,Sortable column table headers have excessive wording due to incorrect use of aria,Accessibility,,,,"*Issue Description:*
Sortable column table headers contain excessive wording due to the incorrect use of aria, causing screen readers to announce sorting behavior incorrectly. This results in a confusing experience for screen reader users. 

*User Interface Impact:* No

*Steps to Reproduce (Generic)*:

# Enable a screen reader.
# Log in as a caseworker.
# Click the ?Search for a Person? link in the Quick Links pod to open the Person Search page.
# Navigate to the sortable column headers in the Search Results (Person, Address and Date of Birth).
# Issue: The screen reader announces: ?Person Sortable column unsorted.? When the user presses the Spacebar/Enter to sort a column, the screen reader announces: ?Person Sortable column sorted ascending? three times.

*Resolution:*
The screen reader now announces the column header button, and if sorted, it states the sorting order (ascending/descending). For example: ?Person button ascending?.

 "
SPM-135177,DT036990,Focus not clearly visible when user navigates to selected checkboxes and radio buttons in IEG,Accessibility,,,,"*Issue Description:*
The focus is not visible when a selected checkbox or radio button receives focus.

*User Interface Impact:* No

*Steps to Reproduce:* 

# Log in as a Child Welfare Structure Decision-Making caseworker.
# Expand the Intakes section and select New Intake.
# Complete the Category, Types, Date, Time and Method fields and save the Intake.
# The Intake Assistant opens; navigate to the Participants tab.
# ?Register a New Participant.
# Click the Assessments tab.
# Select a checkbox, for example, severe, for the question ?Were any of the following non-accidental injuries sustained by the child? (Please check all that apply.)?
# Select a radio button, for example, Yes, for the question ?Was the child a victim of cruel or excessive corporal punishment??
# Navigate to the selected checkbox and radio buttons using the keyboard. 
# Issue: The focus is not visible when the selected checkbox/radio button receives focus.

*Resolution:*
The selected checkbox or radio button now receives focus.

"
SPM-134575,,The person avatar is displayed on the left side on an application case on a Right-To-Left (RTL) language,Look and Feel,,,,"*Issue Description:*
The person avatar, or picture, if added, is displayed on the left side of the application case context panel in Right-To-Left (RTL) mode.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Select ?New Application Form? on the person home page.
# Submit the application.
# Navigate to the application case home page.
# Click the User Profile avatar, select the Language option, choose Arabic, and Save.
# Issue: The person avatar is displayed on the left side in the context panel. 

*Resolution:*
The issue is resolved, and the person avatar, or picture if added, is displayed correctly on the right side of the application case context panel in RTL mode.

"
SPM-134114,,Unhandled Server Exception displays after subscribed user and  the work queue are subsequently deleted,CEF,Administration Suite,,,"*Issue Description:*
An application error occurs on the View Tasks page when the associated work queue is deleted from the administration application.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an administrator.
# Select Work Queues under Workflow in the shortcuts panel.
# Click the New Work Queue action.
# Provide a Work Queue name, select the User Subscription Allowed checkbox, and search for and select an administrator.
# Log out.
# Log in as a caseworker.
# Select the Inbox tab and expand the shortcuts panel.
# Expand the Work Queues section and select Subscribe to a Work Queue.
# Search for and subscribe to the work queue created in the administration application.
# Select My Work Queues under the Work Queues section.
# Click View Tasks for the subscribed work queue; it should return an empty list.
# Register a Person from the Registration section in the Cases and Outcomes shortcuts panel.
# Open the Administration tab and create a New Task assigned to the subscribed work queue.
# The View Tasks page for the subscribed work queue in the Inbox tab should display the created task.
# Log out.
# Log in as an administrator.
# Select Work Queues under Workflow in the shortcuts panel.
# Expand the list item view for the Work Queue created earlier and select the Work Queue Subscriptions tab.
# Delete the caseworker user subscription and create a subscription for the supervisor.
# Log out and log in as a supervisor.
# Select View Tasks for the Work Queue created earlier from the My Work Queues page under the Work Queues section in the Inbox tab.
# Click Add to My Tasks from the action menu.
# Open the 'My Tasks' page under the Tasks section and click Close for the task created earlier from the action menu.
# Log out and log in as an administrator.
# Select Work Queues under Workflow in the shortcuts panel.
# Expand the list item view for the Work Queue created earlier and select the Work Queue Subscriptions tab.
# Delete the supervisor subscription and delete the work queue. 
# Log out.
# Log in as a caseworker and navigate to the opened View Tasks page for the deleted work queue.
# Issue: The following error is presented to the caseworker: ?An Application Error Has Occurred.?

*Resolution:*
The page now loads without an error and works as expected.

"
SPM-133970,DT036951,Edit Skill modal is missing mandatory indicators for Level and Type fields,CEF,Administration Suite,,,"*Issue Description:*
When editing a User Skill, the asterisk, which indicates a field is mandatory, is missing for the Level and Type fields. A validation message will be displayed if either field is blank when submitting the form.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Log in as an administrator.
# Search for a User.
# Open the Skills tab in the User profile.
# Click New Skill and add a Skill for the User.
# Click Edit for the new skill created.
# Clear the value in either the Level or Type fields and click Save. 
# Issue: A validation message appears indicating that these fields are mandatory, but asterisks indicating the fields are mandatory are not visible. 

*Resolution:*
Asterisks are now displayed beside the Level and Type fields, indicating that they are mandatory.

"
SPM-133302,,"Modern Java, RMILoginClient replaced by RestLoginClient",CEF,Application Development Environment,Server Development Environment,,"*Issue Description:*
Modern Java does not support Remote Method Invocation(RMI/IIOP). Cúram Application Development support for RMI as been removed for the Modern Java release. RMILoginClient has been removed. It has been replaced with RESTful support. 

*User Interface Impact:* no

*Resolution:*
In the Cúram Modern Java Development Environment, The RMILoginClient Login Application has been replaced with RestLoginClient. The RestLoginClient provides the same functionality as the RMILoginClient.

"
SPM-133099,DT036916,"Deferred tasks functionality not working as expected ",CEF,Supervisor Workspace,Task Management,,"*Issue Description:*
Deferred tasks, when forwarded or reallocated, remain in a status of Deferred instead of being reset to Open.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Navigate to the Inbox tab.
# Create a new task, providing all necessary information and check the Add to My Tasks option.
# Click Save and New.
# Create a second task, providing all necessary information and check the Add to My Tasks option.
# Confirm the task appears in the My Open Tasks list.
# From the task action menu, select Defer and set a restart date for the first task. 
# From the task action menu, select Defer and set a restart date for the second task. 
# Open the My Deferred Tasks tab, and both tasks created above should display on the list. 
# Select the task link under the subject column, which will open the home page tab view for each task.
# Forward a deferred task to another user.
# Reallocate the second deferred task.
# Issue: Deferred tasks that have been forwarded or reallocated remain in a status of deferred, and they continue to appear on the My Deferred Tasks list for the newly allocated user.

*Resolution:*
The system now correctly sets the status of deferred tasks to Open when they are forwarded or reallocated.

"
SPM-133001,DT036913,Task History information displays a username instead of a full name when a supervisor views a task in a user's workspace,CEF,Supervisor Workspace,Task Management,,"*Issue Description:*
Task history information displays a username instead of the user's full name when a supervisor views a task in a user?s workspace for certain task actions, such as reserving, unreserving, forwarding, and reallocating a task.

*User Interface Impact:* Yes

*Prerequisites:* 

# Log in as an administrator.
# Navigate to Work Queues under Workflow in the shortcuts panel.
# From the list of work queues, click a work queue and add new subscriptions for a caseworker and a supervisor if they do not already exist.

*Steps to Reproduce:*

# Log in as a supervisor and navigate to the Inbox tab.
# Create a new task and assign it to a work queue that the supervisor subscribes to.
# From the My Work Queues pod, open the work queue the task was assigned to. 
# Perform the following actions to build a task history.
## From the Assigned Tasks tab, click the ?Reserve For? menu option and choose the caseworker as the user.
## From the reserved Tasks tab, select the task in the graph and click the ?Un-reserve? menu option from the Open Tasks Reserved By Work Queue User action menu.
## From the Assigned Tasks tab, click the ?Forward? menu option and choose the supervisor to forward the task to.
## Select the Home tab, select the supervisor link in the User Subscribers list, on the supervisor User Workspace page, select the Tasks tab and then from the Assigned Tasks list, click the ?Reallocate? menu option.
## From the Assigned Tasks tab, click the ?Reserve For? menu option and choose the caseworker as the user.
# Select the Home tab, and select the caseworker link in the User Subscribers list to open the Caseworker User Workspace page.
# Navigate to the Tasks tab and choose Open Tasks from the left-hand menu.
# Find the task created above, expand the task details, and go to the Task History tab.
# Issue: Task history items, where the change has been to reserve, unreserve, forward, or reallocate, display a username instead of the user's full name.

*Resolution:*
All task history items will display the user?s full name instead of just the username.

"
